CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2013,ACA,"5,058","10,946","4,880",90,"2,659",26,0,57,5
2008,SAD,"3,192","10,984","2,917",58,"2,609",10,186,4,17
2001,GTI,1,1,1,0,0,0,0,0,0
2004,X12,15,23,13,0,2,0,0,0,2
2019,MCK,"4,661","13,406","4,610",44,"4,117",5,1,1,0
2005,HIL,"2,935","5,567","2,755",150,"1,124",5,15,2,8
2002,MRT,"3,276","10,285","3,161",31,"2,908",1,71,0,12
2006,MCT,"4,625","10,092","4,060",37,"3,772",2,492,5,29
2006,ERI,"2,411","6,994","2,351",35,"1,845",2,17,6,0
2019,COL,988,"2,245",941,28,692,12,7,0,0
2012,RAM,"1,132","2,105","1,062",27,552,8,5,23,7
2012,BEL,159,424,144,8,142,5,2,0,0
1998,ROX,166,430,164,0,158,0,2,,
2008,SVO,841,"1,308",464,0,405,0,353,0,24
2017,WND,"2,462","4,267","2,251",173,838,10,13,12,3
2001,MAL,"2,708","6,046","2,531",168,"1,411",1,0,5,3
2011,ALB,"2,705","6,217","2,513",146,804,1,8,33,4
2018,SCA,340,914,324,8,281,5,2,0,1
1999,PAT,"1,835","3,854","1,617",44,"1,175",2,101,70,
2004,FLN,"3,278","7,535","2,872",354,"1,163",6,8,35,3
2000,FHT,"2,090","6,707","2,049",39,"1,443",1,0,0,
2003,ESH,1,0,1,0,1,0,0,0,0
2004,X08,0,0,0,0,0,0,0,0,0
2010,ASP,"1,499","3,560","1,168",81,"1,013",0,232,0,18
2001,CIA,5,10,4,1,3,0,0,0,0
2016,WND,"2,452","4,347","2,300",127,889,1,15,3,6
2014,SCA,337,919,323,9,281,3,0,0,2
1999,CAP,"2,078","3,923","1,990",66,772,6,5,7,
2000,DRG,"1,493","4,688","1,478",15,"1,067",0,0,0,
2018,WBN,"3,373","8,837","3,317",49,"3,019",6,0,1,0
2011,HAM,"2,472","7,843","2,446",19,"2,353",1,2,1,3
2007,BNK,"3,510","5,251","3,255",72,961,59,73,40,11
2009,CIA,5,0,3,2,0,0,0,0,0
2019,LIV,838,"1,477",526,97,474,0,215,0,0
2015,MOR,"3,184","10,831","3,129",37,"2,600",5,0,12,1
2002,FVI,2,4,2,0,1,0,0,0,0
2005,CAN,"3,175","7,953","3,060",112,"2,534",3,0,0,0
2003,SAD,"1,062","3,030",952,30,900,0,70,0,10
2009,GLA,"2,987","6,417","2,866",90,"1,823",7,0,21,3
2013,X05,11,41,8,0,24,0,1,0,2
2006,CHN,861,"1,361",837,16,180,1,2,0,5
2002,MAF,187,556,181,4,169,1,0,0,1
2016,FAL,"3,559","10,881","3,329",190,"1,861",23,1,15,1
2006,DRG,"1,492","4,344","1,457",32,"1,029",3,0,0,0
2011,SAN,"2,118","6,142","2,062",48,"1,855",6,0,2,0
2015,VIS,852,"2,440",833,14,390,2,0,3,0
2016,MAL,"2,806","5,915","2,605",158,"1,377",17,2,19,5
2005,BRD,"2,430","4,514","2,168",197,827,17,23,21,4
2001,X10,298,684,284,13,268,0,0,1,0
2017,CRA,"6,750","18,559","6,459",131,"5,599",13,119,2,26
2003,HID,"3,789","11,296","3,640",17,"3,514",1,125,0,6
2001,LKB,"3,430","10,350","3,300",42,"3,173",72,15,0,1
2009,APP,"2,064","6,379","1,968",66,"1,392",1,10,19,0
2013,CAN,"3,202","7,822","3,144",39,"2,517",16,0,1,2
2010,MPL,810,"1,980",795,14,748,1,0,0,0
2012,SUN,7,26,4,3,0,0,0,0,0
2012,COV,"5,322","15,969","5,257",61,"4,639",2,0,2,0
2003,BRT,314,777,299,9,250,1,4,1,0
2006,BYV,249,659,239,6,237,3,0,0,1
2009,HAY,"3,632","6,435","3,065",118,"2,024",3,423,18,5
2019,FPK,0,0,0,0,0,0,0,0,0
2010,ERI,"2,449","6,876","2,348",86,"1,772",4,0,10,1
2002,AYB,16,28,10,3,3,0,0,1,2
2007,CIT,"3,477","10,205","3,447",25,"3,219",0,0,5,0
2003,DNC,"4,699","6,879","4,369",239,189,12,0,0,79
2016,NAW,3,0,1,2,0,0,0,0,0
2014,GTI,1,0,1,0,0,0,0,0,0
2015,MPL,817,"1,938",795,14,745,6,1,1,0
2018,BNK,"3,531","5,211","3,203",249,842,11,30,3,35
2014,FHI,2,343,1,1,0,0,0,0,0
2004,RDL,626,"1,591",600,20,503,1,4,0,1
2009,ABB,"2,008","6,032","1,934",55,"1,447",5,1,13,0
1998,NHV,955,"2,526",947,7,928,0,0,,
2013,SHN,"3,298","9,475","3,262",21,"2,676",7,1,7,0
2018,RED,911,"1,596",861,47,646,2,0,0,1
2016,RSN,930,"2,373",718,45,686,0,155,0,12
2019,VIS,851,"2,370",807,39,382,5,0,0,0
2003,X13,55,124,51,3,27,0,1,0,0
2016,RIC,"2,342","4,705","2,147",118,"1,350",16,44,12,5
1998,MAL,"2,598","6,166","2,536",60,"2,257",0,0,,
2013,CHK,589,"1,699",575,7,466,5,2,0,0
2010,X13,43,108,33,8,30,1,0,1,0
2008,KIN,"2,371","4,372","2,197",58,818,79,24,10,3
2003,COR,"1,475","6,141","1,460",15,"1,418",0,0,0,0
2018,X02,17,"1,016",16,1,21,0,0,0,0
2009,CLI,"1,380","1,763","1,136",136,300,29,45,29,5
2000,WLD,"1,045","2,730","1,033",10,965,2,0,0,
2006,MOP,"2,501","4,803","2,289",49,"1,337",34,53,76,0
2011,SUN,7,40,3,4,0,0,0,0,0
2003,BRI,"2,018","5,442","1,881",26,"1,821",0,101,0,10
2016,WAL,"1,517","3,859","1,259",82,"1,093",0,154,1,21
2002,SIL,"3,508","9,846","3,479",25,"2,955",2,0,1,1
2003,BNK,"3,440","5,327","3,233",177,824,20,3,1,6
2000,HID,"3,280","9,523","3,185",45,"3,113",1,46,0,
2002,DNE,688,"1,853",661,26,3,0,0,0,1
2007,WHL,"2,819","5,568","2,610",67,"1,509",21,85,30,6
2010,DIS,"1,647","4,333","1,613",23,"1,397",4,2,2,3
1999,SHN,"2,651","8,432","2,589",17,"2,455",3,41,0,
2008,MRL,"3,110","8,356","2,991",82,"2,031",12,0,21,4
2002,MON,"1,655","4,024","1,619",30,995,1,3,0,2
2013,WBN,"3,372","9,174","3,331",30,"2,972",9,0,2,0
2017,MAN,660,"1,051",499,37,28,2,113,0,9
2017,THO,"3,841","8,471","3,520",269,"2,081",17,0,28,7
2009,DNW,"1,627","2,278","1,421",160,714,2,0,6,38
2011,EYA,782,"1,747",729,35,413,2,7,9,0
2009,MAC,"1,778","5,233","1,756",20,"1,564",1,0,1,0
2017,RAM,"1,135","2,104","1,014",81,543,11,3,20,6
2005,STD,2,4,2,0,2,0,0,0,0
2009,RCK,"1,613","3,213","1,425",101,424,7,22,57,1
2000,SUN,4,32,1,3,0,0,0,0,
2009,SOC,"2,221","3,641","1,890",103,919,17,151,53,7
2000,HPK,"1,982","3,821","1,908",44,694,2,1,26,
2003,MON,"1,664","3,908","1,585",49,988,5,3,15,7
2015,HAY,"3,644","7,255","3,486",127,"2,035",7,0,1,23
1999,COU,941,"2,086",749,50,725,0,133,0,
2018,KCA,"2,382","6,460","2,108",98,"1,789",2,167,1,6
2001,X01,12,16,10,2,1,0,0,0,0
2000,CED,"2,469","6,737","2,428",14,"1,895",0,26,0,
2006,COP,0,0,0,0,0,0,0,0,0
2008,GBK,"3,215","7,050","3,113",61,"1,687",8,8,23,2
2012,SOV,936,"1,900",808,100,432,5,0,20,3
2012,SFH,3,0,3,0,0,0,0,0,0
2017,EYA,774,"1,783",715,44,405,4,11,0,0
2006,SKE,0,0,0,0,0,0,0,0,0
2016,MEA,281,659,263,11,223,3,2,1,1
2008,TEM,"3,594","10,923","3,485",83,"2,561",13,0,12,1
2008,BNK,"3,530","5,276","3,266",114,"1,013",67,36,29,18
2012,LKV,"2,338","5,468","2,295",23,"1,842",14,3,1,2
2006,X12,10,22,7,2,1,0,0,0,1
2006,SSD,"2,355","3,598","2,203",30,726,97,12,5,8
2006,PKH,831,"1,543",770,25,432,9,13,10,4
2017,X05,9,39,9,0,13,0,0,0,0
2004,CRA,"1,108","2,692",970,10,951,0,99,0,29
2007,CAS,"1,913","6,237","1,832",55,"1,248",4,0,22,0
2019,SDC,"3,424","9,736","3,351",62,"2,959",7,0,1,3
2017,ESH,1,0,0,0,0,0,0,0,1
1999,WHL,"2,674","5,180","2,548",83,"1,442",2,34,5,
2003,X14,0,0,0,0,0,0,0,0,0
2013,COV,"5,542","16,580","5,330",59,"4,654",4,139,3,7
2009,REN,"3,196","5,692","2,921",136,"1,661",24,35,71,9
2007,X02,7,945,7,0,2,0,0,0,0
2013,HAR,"2,571","7,465","2,536",24,"2,243",3,0,6,2
2010,BYV,249,630,233,9,232,6,0,0,1
2004,MCT,"3,352","6,936","2,708",120,"2,577",1,482,5,36
1999,DNW,577,433,272,23,83,1,273,0,
2010,CAN,"3,178","7,810","3,080",88,"2,589",7,2,1,0
2016,HOR,5,42,4,1,0,0,0,0,0
2000,X05,7,23,5,1,4,0,0,0,
2004,PAN,"2,354","6,871","2,132",43,"2,070",0,162,0,17
2013,VAF,6,0,5,0,0,0,0,0,1
2007,SFH,3,0,3,0,1,0,0,0,0
1998,ST2,6,12,5,1,3,0,0,,
2002,BNF,"1,699","3,628","1,632",52,789,4,5,4,2
2015,ST1,4,0,4,0,0,0,0,0,0
2019,MOP,"2,831","5,887","2,580",124,"1,556",18,68,30,11
2014,ESH,1,0,0,0,0,0,0,0,1
2009,X14,35,111,33,0,27,0,0,0,2
2014,WLD,"1,058","2,695","1,012",17,907,16,10,2,1
2001,NHU,246,692,242,4,230,0,0,0,0
2006,WIL,"2,275","5,307","2,230",25,"1,807",16,1,0,3
2002,GLA,"2,889","6,500","2,836",49,"1,847",0,0,1,3
2011,GTI,1,0,1,0,0,0,0,0,0
2008,MID,"2,717","7,142","2,617",23,"1,831",6,69,2,0
2008,EAG,109,260,99,2,99,6,2,0,0
2018,X12,127,321,117,7,104,0,0,0,3
2002,PUM,561,"1,886",553,6,417,0,2,0,0
2008,DAL,"3,708","8,981","3,601",84,"2,495",9,1,11,2
2002,BYV,249,694,247,2,246,0,0,0,0
2015,ROC,"3,097","8,224","3,006",71,"2,550",1,18,1,0
2014,WHI,"3,920","12,322","3,703",74,"2,421",16,5,118,4
2003,RCK,"1,576","3,343","1,479",85,465,0,4,4,4
2006,EAU,"1,152","1,717","1,013",10,589,9,79,1,40
2003,DAL,"3,688","9,177","3,572",102,"2,555",2,2,4,6
2004,SCA,344,889,326,13,298,3,2,0,0
2013,RIV,"3,450","9,682","3,418",26,"3,126",3,0,2,1
2019,UOC,9,"2,367",8,1,0,0,0,0,0
1999,MAL,"2,708","6,202","2,518",63,"1,337",0,101,24,
2019,MNI,3,0,0,3,0,0,0,0,0
2011,HID,"3,868","11,657","3,784",66,"3,415",9,0,7,2
2018,RUN,"3,837","11,581","3,637",152,"2,179",21,0,23,4
2003,PEN,"2,986","8,828","2,830",149,"1,976",4,0,2,1
2009,GRE,501,934,477,23,451,1,0,0,0
2010,SCA,347,857,303,16,271,13,0,15,0
2016,TAR,"5,092","18,852","4,704",298,"3,412",9,2,77,2
2010,FRA,3,0,3,0,0,0,0,0,0
2008,CHK,587,"1,728",575,6,480,5,0,0,1
2002,VIC,"3,222","5,364","2,964",200,564,20,1,0,37
2011,STA,644,"1,470",565,49,386,21,9,0,0
2015,SRI,19,15,8,8,0,2,0,0,1
2000,LMR,"2,174","3,059","2,052",90,360,5,13,0,
2019,SGL,0,0,0,0,0,0,0,0,0
1999,SOM,"1,567","4,209","1,463",14,"1,425",0,71,0,
2016,OGD,"3,889","8,710","3,668",156,"2,165",33,4,24,4
2019,X06,15,67,14,1,28,0,0,0,0
2002,CHV,224,163,100,35,90,2,85,0,2
2010,MLR,"2,628","6,623","2,371",45,"2,041",5,46,161,0
2016,COR,"1,553","5,830","1,531",17,"1,370",0,0,5,0
2009,SIL,"3,533","9,147","3,465",60,"2,914",5,0,2,1
2011,WOO,"2,403","6,201","2,336",58,"1,743",4,0,2,3
2003,BRE,"2,544","6,265","2,453",81,"1,778",2,0,5,3
2016,PEN,"3,278","8,594","3,032",196,"1,890",24,1,10,15
2000,UOC,"1,080","2,352","1,071",9,0,0,0,0,
2015,CPF,"4,538","11,434","3,968",50,"3,511",1,495,3,21
2004,ERL,750,"1,230",684,55,434,0,2,6,3
2017,HIW,"1,001","2,230",907,71,557,4,7,8,4
2010,HPK,"2,103","3,465","1,810",198,556,19,12,63,1
2002,MOR,"2,917","10,305","2,895",21,"2,722",0,0,0,1
2007,KIN,"2,367","4,239","2,117",27,802,158,48,11,6
2018,MAL,"2,801","5,913","2,634",117,"1,364",19,0,29,2
2019,SOW,"2,673","6,246","2,563",82,"1,404",18,2,6,2
2019,BYV,248,751,241,4,236,1,0,2,0
2009,BRE,"2,574","6,066","2,469",84,"1,692",12,1,6,2
1998,SHN,"2,566","8,167","2,522",16,"2,513",0,27,,
2001,STD,2,6,2,0,2,0,0,0,0
2018,WGT,"1,340","3,171","1,295",33,905,5,2,3,2
2000,SHG,844,"1,729",802,30,339,5,2,5,
2001,HIL,"2,758","5,183","2,602",129,"1,061",2,5,6,14
2006,NHV,962,"2,346",940,18,686,2,0,2,0
2015,X06,15,61,13,1,25,0,0,1,0
2001,DOU,"2,964","9,006","2,938",21,"2,881",4,1,0,0
2019,BOW,"5,398","11,149","5,011",314,"2,523",16,34,13,10
2004,CHN,760,"1,199",724,33,114,0,0,0,3
2014,GRE,498,948,484,8,449,3,0,2,1
2003,SSW,165,387,161,4,152,0,0,0,0
2016,QPK,188,465,177,3,0,6,0,0,2
2018,SHN,"3,321","9,352","3,260",46,"2,656",10,0,2,3
2012,KEL,903,"2,343",875,23,476,2,0,2,1
2017,EAU,"1,248","1,491",921,132,519,17,1,39,138
2014,STD,2,0,2,0,0,0,0,0,0
2016,SSW,164,383,151,11,127,0,2,0,0
2000,MON,"1,651","4,057","1,605",38,"1,035",3,2,0,
2004,NAW,3,0,0,3,0,0,0,0,0
1998,ST4,7,18,7,0,4,0,0,,
2008,DRG,"1,498","3,896","1,359",27,"1,041",1,0,111,0
1998,PAT,"1,754","3,726","1,537",52,"1,537",0,150,,
2019,HAR,"2,705","7,420","2,563",37,"2,106",5,98,1,1
2012,EAU,"1,328","1,846","1,166",133,632,16,0,1,12
2019,EVN,"5,686","17,685","5,334",190,"4,631",1,141,1,19
2011,ESH,0,0,0,0,0,0,0,0,0
1999,HPK,"1,977","3,752","1,863",92,698,0,2,18,
1999,PIN,"3,445","10,288","3,386",55,"2,262",2,1,1,
2003,FVI,2,1,1,1,1,0,0,0,0
2004,DNE,894,"2,080",822,68,99,1,0,3,0
2008,THO,"3,817","8,810","3,620",112,"2,284",25,0,52,8
2009,ERL,744,"1,212",690,30,477,7,3,13,1
2019,EAG,110,302,101,7,100,0,2,0,0
2005,REN,"3,124","5,454","2,818",269,"1,647",4,15,8,10
1998,EPK,"1,203","3,471","1,176",22,"1,165",0,6,,
2010,COA,"1,480","3,236","1,422",52,"1,244",4,0,1,1
2012,ROX,161,421,151,3,136,3,4,0,0
2016,CAS,"1,986","6,305","1,870",65,"1,184",10,3,37,1
1998,HIL,"2,676","5,069","2,594",66,"2,280",0,4,,
2012,ROY,"3,940","11,250","3,821",71,"3,342",8,28,6,6
2004,BLN,"11,278","16,119","10,209",914,"2,542",43,0,4,108
2000,WES,6,10,5,1,2,0,0,0,
2011,ST3,0,0,0,0,0,0,0,0,0
1999,SOV,885,"2,246",860,20,507,1,0,3,
2006,BNK,"3,480","5,068","3,159",114,908,171,13,19,4
2019,CHK,588,"1,661",572,14,464,1,1,0,0
2019,WHL,"3,086","6,447","2,791",189,"1,631",21,52,11,22
1998,SOW,"2,596","6,718","2,578",18,"2,507",0,0,,
2001,DRN,"2,102","6,349","2,084",17,"1,677",0,0,0,1
2009,X06,13,57,11,0,21,0,1,1,0
2018,MID,"2,898","7,306","2,757",125,"1,827",8,0,0,8
2009,ST1,4,0,1,3,0,0,0,0,0
2014,EVE,"7,097","21,386","6,976",70,"6,157",6,33,3,9
2013,KIN,"2,383","4,568","2,292",60,831,11,0,13,7
2008,CIA,5,0,3,1,0,0,1,0,0
2016,RAM,"1,136","2,116","1,025",57,541,17,10,20,7
2013,X01,108,341,102,3,111,0,1,0,2
2006,ARB,"3,806","10,592","3,732",59,"3,491",10,2,3,0
2012,ABB,"2,023","5,917","1,972",30,"1,372",11,1,9,0
2001,SNA,"2,014","3,341","1,932",71,305,6,0,1,4
2019,BRA,"2,562","5,805","2,463",90,"1,815",6,3,0,0
1999,QPK,189,420,172,17,0,0,0,0,
2000,SFH,6,7,3,1,1,0,0,0,
2001,RUT,968,"2,377",952,16,387,0,0,0,0
2001,BDO,369,"1,073",367,2,329,0,0,0,0
2016,BUR,2,0,2,0,0,0,0,0,0
2007,SGH,0,0,0,0,0,0,0,0,0
2017,RIC,"2,356","4,781","2,127",170,"1,376",12,21,22,4
2001,PIN,"3,561","10,095","3,412",145,"2,312",1,0,2,1
1999,QLD,"1,848","5,706","1,831",17,"1,540",0,0,0,
2008,ERI,"2,428","7,087","2,373",48,"1,804",6,0,1,0
2010,MAH,222,254,89,1,86,0,121,0,11
2011,CLI,"1,376","1,912","1,269",58,331,23,9,11,6
2011,GPK,3,0,3,0,0,0,0,0,0
1999,RAN,"2,954","8,377","2,909",41,"2,105",2,0,1,
2000,TUX,"2,427","4,534","2,279",95,"1,001",5,7,27,
2000,PUM,559,"1,917",555,1,418,0,3,0,
2008,PKL,"1,448","3,910","1,429",13,"1,379",3,2,1,0
2011,COL,977,"2,229",912,50,695,7,2,6,0
1999,RIC,"1,986","3,945","1,910",40,"1,061",3,15,18,
1998,CRE,"3,451","5,730","3,280",164,"2,944",0,0,,
2004,COV,"3,703","9,719","3,380",164,"3,229",1,129,0,29
2016,KIN,"2,425","4,690","2,235",132,783,6,34,14,4
2019,X01,109,337,104,4,107,0,0,0,1
2008,ROC,"2,736","6,732","2,653",52,"2,485",2,24,5,0
2003,SPH,"1,180","2,801",961,23,924,2,179,1,14
2006,AYB,16,51,11,4,3,0,0,1,0
2012,WHL,"2,947","5,802","2,593",156,"1,528",10,146,35,7
2019,SSD,"2,626","4,228","2,495",96,780,9,5,5,16
2018,EAU,"1,355","1,660","1,031",141,544,16,119,3,45
2018,COA,"1,481","3,213","1,428",44,"1,170",9,0,0,0
2007,BDO,370,963,356,9,315,2,0,3,0
2019,SIG,"5,187","13,395","5,081",86,"4,588",14,5,0,1
2018,CRM,533,"1,514",477,9,450,1,39,1,6
2015,WLD,"1,059","2,675","1,026",18,894,9,4,2,0
2017,PIN,"3,887","9,741","3,629",215,"2,241",18,9,11,5
1998,GRI,6,10,5,1,2,0,0,,
2015,MNI,3,0,1,2,0,0,0,0,0
2006,SAN,"2,112","6,628","2,095",15,"1,946",1,0,1,0
2015,GRE,497,957,482,13,436,1,0,0,1
2005,RMT,541,"1,295",526,11,347,1,2,0,1
2005,RIC,"2,078","3,867","1,903",132,"1,064",9,23,4,7
2005,PEG,2,2,1,1,0,0,0,0,0
2010,GRI,6,0,2,2,0,0,0,0,2
2018,MLR,"2,647","6,848","2,574",66,"2,000",6,0,0,1
2017,DOV,"4,875","10,484","4,520",298,"2,777",31,2,20,4
2008,CED,"2,601","6,412","2,557",30,"1,963",8,0,5,1
2003,ING,"1,887","3,174","1,645",81,"1,022",6,135,7,13
2000,UMR,"1,068","2,663","1,030",31,813,5,2,0,
2009,SSW,167,368,156,5,140,3,1,2,0
2005,ESH,1,0,0,0,0,0,0,0,1
2006,X13,77,155,61,14,40,1,0,0,1
2005,ST4,8,19,7,0,4,0,0,1,0
2003,X12,15,24,12,2,5,0,0,0,1
2003,X09,5,23,5,0,5,0,0,0,0
2013,RUT,971,"2,224",943,18,737,7,2,1,0
2002,PEN,"2,951","9,130","2,866",83,"1,992",1,0,0,1
2013,THO,"3,856","8,788","3,663",88,"2,174",17,3,81,4
2010,EDG,"5,418","16,190","5,303",79,"4,733",34,0,2,0
2017,BVD,15,46,14,0,0,1,0,0,0
2019,CHN,"1,989","2,471","1,628",286,378,20,0,7,48
2012,BOW,"5,313","11,009","5,049",178,"2,530",10,16,57,3
2018,EFI,0,0,0,0,0,0,0,0,0
1999,OGD,"3,882","10,290","3,796",70,"2,526",10,2,4,
2017,CIT,"3,484","10,293","3,441",37,"3,035",4,0,0,2
1999,FLN,"3,114","8,256","3,002",93,"1,228",4,0,12,
2004,CHV,555,652,394,117,250,1,39,0,4
2009,MID,"2,724","7,109","2,662",41,"1,848",8,8,3,2
2016,WOO,"2,411","6,105","2,346",51,"1,723",12,0,1,1
2012,HAM,"2,471","7,905","2,452",18,"2,360",0,0,1,0
2007,FRA,3,0,2,0,0,0,0,1,0
2012,PAL,"1,707","3,290","1,662",38,"1,036",4,0,2,1
2018,VAL,"1,940","5,572","1,917",16,"1,822",5,0,2,0
2010,SAW,2,0,2,0,0,0,0,0,0
2005,FHI,1,0,1,0,1,0,0,0,0
2006,CFC,3,0,0,0,0,0,0,0,3
2007,CHV,950,"1,463",829,3,630,0,106,2,10
2010,SNA,"2,130","2,966","1,817",254,472,24,1,22,12
2012,LKB,"4,106","10,473","4,003",75,"3,578",15,6,1,6
2019,SRI,15,25,10,0,0,0,0,0,5
2003,SHS,621,"1,652",611,5,597,1,4,0,0
2008,MAL,"2,742","5,985","2,672",41,"1,493",20,0,8,1
2016,REN,"3,469","6,436","3,100",197,"1,814",18,84,54,16
2015,ABB,"2,056","6,167","2,009",19,"1,392",11,2,14,1
2007,MOR,"3,103","10,477","3,033",49,"2,715",8,0,12,1
2018,FLI,62,110,55,5,45,1,0,0,1
2013,CFL,730,"2,002",714,11,484,4,0,0,1
1998,FLI,61,117,59,2,54,0,0,,
2014,DIS,"1,650","4,462","1,632",17,"1,382",0,0,1,0
2008,SOC,"2,171","3,616","1,882",60,879,53,116,43,17
2016,LMR,"2,397","3,360","2,175",175,735,27,5,6,9
2018,X08,0,23,0,0,46,0,0,0,0
2004,SIL,"3,509","9,438","3,443",62,"2,946",3,0,1,0
2008,GRI,6,0,4,1,0,0,0,0,1
2016,MON,"1,950","4,351","1,766",129,"1,019",16,26,7,6
2008,ROX,162,428,154,3,147,1,4,0,0
2008,COR,"1,485","6,005","1,466",13,"1,385",2,0,4,0
2010,STA,647,"1,561",592,27,402,19,8,1,0
2008,SPH,"2,871","7,250","2,404",49,"2,285",1,408,1,8
2019,SOM,"3,161","8,543","3,099",57,"2,306",2,1,0,2
1999,CHN,761,"1,283",741,19,75,0,0,0,
1998,KEL,903,"2,242",892,10,890,0,0,,
2017,CHK,589,"1,659",568,17,463,2,2,0,0
1998,BNK,"3,291","5,238","3,213",70,"2,806",0,1,,
1999,SAW,2,4,2,0,0,0,0,0,
2007,SPR,"2,010","3,027","1,416",38,657,144,382,22,8
2015,RCK,"1,644","3,447","1,529",50,463,4,14,45,2
2015,HAM,"2,474","7,767","2,450",19,"2,338",4,0,0,1
2016,X04,0,9,0,0,14,0,0,0,0
2009,COU,"1,426","3,680","1,412",13,"1,257",0,1,0,0
2010,WES,0,0,0,0,0,0,0,0,0
2009,EVE,"6,445","18,148","6,251",86,"5,779",3,81,3,21
2018,MAF,155,430,148,4,141,3,0,0,0
1999,MNI,4,4,2,2,2,0,0,0,
2018,KEL,902,"2,362",857,40,448,4,0,0,1
2000,WIL,"2,256","5,623","2,227",25,"1,861",3,0,0,
2003,UOC,644,"2,235",618,6,0,0,0,0,20
1999,MCT,787,"1,539",596,23,571,1,143,0,
2010,BNF,"1,857","3,621","1,645",86,627,11,10,95,10
2017,QPK,188,430,181,7,0,0,0,0,0
2009,SOW,"2,641","6,123","2,552",75,"1,612",5,0,8,1
2006,WSP,"2,026","5,309","1,826",28,"1,766",0,167,1,4
2011,GPI,0,0,0,0,0,0,0,0,0
2005,GPK,4,7,4,0,2,0,0,0,0
2002,BRD,"2,413","4,837","2,298",95,859,11,0,4,5
2017,MIS,"3,483","4,576","3,084",216,926,13,103,12,55
2018,NHV,"1,009","2,375",967,27,658,4,0,11,0
2016,KEL,903,"2,361",859,38,469,4,2,0,0
2019,DNE,"2,699","3,892","2,009",287,589,8,223,16,156
2001,BED,"4,225","12,784","4,174",41,"3,308",2,0,4,4
2012,CIT,"3,479","10,197","3,414",51,"3,029",4,0,9,1
2018,SOV,844,"1,858",791,45,386,0,1,0,7
2005,BED,"4,265","11,923","4,144",108,"3,237",6,0,5,2
1999,EDG,"5,207","16,463","5,023",68,"4,332",1,89,16,
2018,MPK,"3,151","8,669","2,987",122,"2,106",7,2,30,3
2007,PKD,"1,106","2,064",986,24,460,11,41,41,3
2012,LMR,"2,266","3,180","2,139",69,629,9,0,31,18
2016,ST1,4,0,0,4,0,0,0,0,0
2012,UMR,"1,071","2,542","1,002",35,735,7,12,12,3
2013,X13,35,70,28,2,34,0,0,2,3
2015,ALT,"4,526","9,865","4,223",189,"2,844",16,80,12,6
2017,WLD,"1,064","2,625","1,029",25,900,3,5,1,1
2002,RUN,"3,622","11,461","3,535",60,"2,446",10,0,15,2
2010,SSD,"2,345","3,633","2,165",141,735,18,5,10,6
2012,AYB,14,0,7,0,0,0,0,0,7
2010,EVE,"6,582","18,692","6,372",102,"5,809",8,79,7,14
2010,X07,0,33,0,0,43,0,0,0,0
1999,EAU,918,"1,112",693,225,392,0,0,0,
2002,CAM,904,"2,124",883,21,592,0,0,0,0
2012,SHG,862,"1,553",722,32,321,8,6,87,7
2016,HID,"3,874","11,869","3,828",41,"3,444",3,0,0,2
2012,RDL,636,"1,569",593,33,460,2,5,2,1
2004,SNA,"2,087","2,970","1,793",278,398,1,8,0,7
2009,BDO,371,968,367,3,312,1,0,0,0
2013,RID,341,640,324,3,247,7,1,0,6
2008,WHI,"3,655","11,665","3,478",110,"2,532",15,0,52,0
2017,X02,20,"1,309",19,0,27,0,0,0,1
2019,FRA,3,0,2,1,0,0,0,0,0
1998,COL,954,"2,279",948,5,939,0,0,,
2018,NHU,246,606,241,2,229,3,0,0,0
2001,FVI,2,4,2,0,0,0,0,0,0
2005,CRE,"3,597","5,748","3,312",250,"1,396",5,9,10,11
2015,X05,9,44,8,1,18,0,0,0,0
2006,NGM,"1,003","2,412",971,14,766,8,2,8,0
2009,EVN,"1,626","4,599","1,476",18,"1,363",1,117,0,14
1999,DOV,"4,147","11,331","4,037",89,"2,688",1,19,0,
2011,OGD,"3,877","8,429","3,657",166,"2,227",7,2,43,2
2004,ST2,1,0,1,0,0,0,0,0,0
2006,THO,"3,779","8,862","3,630",92,"2,348",12,0,39,6
2007,SAW,2,0,1,0,0,0,0,1,0
1999,RMT,539,"1,256",520,15,355,3,0,0,
2016,RMT,572,"1,240",518,31,316,9,3,9,2
1998,SPR,"1,428","3,207","1,347",77,"1,262",0,0,,
2010,BUR,2,0,1,1,0,0,0,0,0
2016,CIA,3,0,1,2,0,0,0,0,0
2018,GAW,"1,429","3,182","1,375",47,"1,024",3,1,2,1
2016,GDL,"1,120","2,809","1,093",15,847,8,0,2,2
2018,MCT,"7,156","18,186","6,998",142,"5,527",11,2,1,2
2007,EAG,109,246,95,0,95,1,0,13,0
2018,GTI,1,0,1,0,0,0,0,0,0
2014,ROX,161,243,83,8,80,12,9,49,0
2017,MON,"1,978","4,348","1,794",132,"1,002",9,30,4,9
2000,ROY,220,392,139,23,132,0,38,0,
2007,POI,846,"1,348",829,15,657,1,0,1,0
2000,DIA,270,877,269,1,265,0,0,0,
2012,ASP,"2,281","5,269","1,751",51,"1,553",6,439,0,34
