CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
1999,DIA,228,739,226,2,222,0,0,0,
2001,KIL,"3,399","6,440","3,186",148,"1,700",2,23,30,10
2010,MEA,276,636,261,13,221,2,0,0,0
2019,EVE,"7,256","21,496","6,998",150,"5,824",4,74,24,6
2001,X02,39,806,37,2,16,0,0,0,0
2001,HAM,"2,088","6,548","1,958",35,"1,904",2,82,0,11
2006,X14,7,14,7,0,1,0,0,0,0
2002,POI,846,"1,362",814,28,656,0,1,0,3
2002,SOV,889,"2,308",862,21,493,1,0,4,1
2008,PEN,"3,192","8,361","2,877",90,"1,916",17,92,115,1
2008,HAW,"3,330","10,205","3,290",32,"3,124",7,0,1,0
2006,X08,0,0,0,0,0,0,0,0,0
2019,MRT,"4,270","14,245","4,090",136,"2,679",9,19,14,2
2014,RIV,"3,453","9,696","3,416",30,"3,115",4,0,2,1
2017,S23,1,0,1,0,0,0,0,0,0
2011,KEL,904,"2,334",877,25,481,1,0,1,0
2018,DDG,"4,920","12,760","4,720",79,"4,220",9,106,3,3
2007,NGM,"1,003","2,458",980,8,768,7,1,4,3
2007,COL,956,"2,264",921,13,707,17,4,1,0
2018,EYA,773,"1,773",707,55,407,3,6,1,1
2014,MOR,"3,168","10,703","3,112",41,"2,577",11,0,4,0
2009,DIS,"1,647","4,286","1,586",29,"1,367",1,3,27,1
2005,EDG,"5,415","17,157","5,354",61,"4,814",0,0,0,0
2006,NEB,826,"1,779",619,4,605,0,183,0,20
2010,BRT,313,753,291,10,243,1,5,4,2
2017,MCT,"7,150","18,106","6,948",174,"5,486",4,1,19,4
2008,BEL,159,453,148,3,144,6,2,0,0
2005,VAR,"5,451","11,963","5,143",125,"3,471",23,153,3,4
